exp_name,epoch,train_loss,val_safe_acc,lr
D1_smallcnn_norm_basicaug,0,2.8195191820462546,0.5138888955116272,0.0009938441702975688
D1_smallcnn_norm_basicaug,1,2.7247441609700522,0.4861111119389534,0.0009755282581475768
D1_smallcnn_norm_basicaug,2,2.6870331247647603,0.4861111119389534,0.0009455032620941839
D1_smallcnn_norm_basicaug,3,2.638797692457835,0.4982638955116272,0.0009045084971874737
D1_smallcnn_norm_basicaug,4,2.586213811238607,0.4427083358168602,0.0008535533905932737
D1_smallcnn_norm_basicaug,5,2.5563686807950337,0.5138888955116272,0.0007938926261462366
D1_smallcnn_norm_basicaug,6,2.5320377151171365,0.5295138955116272,0.0007269952498697733
D1_smallcnn_norm_basicaug,7,2.5125229279200236,0.4704861119389534,0.0006545084971874737
D1_smallcnn_norm_basicaug,8,2.499795631567637,0.4670138955116272,0.0005782172325201155
D1_smallcnn_norm_basicaug,9,2.4864906668663025,0.6006944477558136,0.0005
D1_smallcnn_norm_basicaug,10,2.460969607035319,0.4826388955116272,0.0004217827674798847
D1_smallcnn_norm_basicaug,11,2.448063298066457,0.4913194477558136,0.00034549150281252633
D1_smallcnn_norm_basicaug,12,2.4397905349731444,0.5538194477558136,0.00027300475013022663
D1_smallcnn_norm_basicaug,13,2.428555448849996,0.5538194477558136,0.00020610737385376348
D1_smallcnn_norm_basicaug,14,2.422914175192515,0.5069444477558136,0.00014644660940672625
D1_smallcnn_norm_basicaug,15,2.4115875204404196,0.5225694477558136,9.549150281252631e-05
D1_smallcnn_norm_basicaug,16,2.4045820554097492,0.5225694477558136,5.4496737905816096e-05
D1_smallcnn_norm_basicaug,17,2.3977853417396546,0.4947916716337204,2.447174185242323e-05
D1_smallcnn_norm_basicaug,18,2.3995899200439452,0.5225694477558136,6.15582970243117e-06
D1_smallcnn_norm_basicaug,19,2.3954017877578737,0.5069444477558136,0.0
