exp_name,epoch,train_loss,val_safe_acc,lr
B2_finetune_norm_strongaug,0,2.6058457414309184,0.6597222238779068,0.0009938441702975688
B2_finetune_norm_strongaug,1,2.3664737780888876,0.5850694477558136,0.0009755282581475768
B2_finetune_norm_strongaug,2,2.2819529592990877,0.6006944477558136,0.0009455032620941839
B2_finetune_norm_strongaug,3,2.2088318089644114,0.5729166716337204,0.0009045084971874737
B2_finetune_norm_strongaug,4,2.152975696325302,0.7222222238779068,0.0008535533905932737
B2_finetune_norm_strongaug,5,2.036361821492513,0.6354166716337204,0.0007938926261462366
B2_finetune_norm_strongaug,6,1.9606107870737712,0.6631944477558136,0.0007269952498697733
B2_finetune_norm_strongaug,7,1.8450623492399851,0.6440972238779068,0.0006545084971874737
B2_finetune_norm_strongaug,8,1.8327533582846323,0.6944444477558136,0.0005782172325201155
B2_finetune_norm_strongaug,9,1.7743670841058095,0.6788194477558136,0.0005
B2_finetune_norm_strongaug,10,1.6475827892621357,0.7222222238779068,0.0004217827674798847
B2_finetune_norm_strongaug,11,1.538404929637909,0.6944444477558136,0.00034549150281252633
B2_finetune_norm_strongaug,12,1.4628194292386374,0.6857638955116272,0.00027300475013022663
B2_finetune_norm_strongaug,13,1.336926676829656,0.7690972238779068,0.00020610737385376348
B2_finetune_norm_strongaug,14,1.2318719496329626,0.7569444477558136,0.00014644660940672625
B2_finetune_norm_strongaug,15,1.2104035357634226,0.7378472238779068,9.549150281252631e-05
B2_finetune_norm_strongaug,16,1.1066040456295014,0.7690972238779068,5.4496737905816096e-05
B2_finetune_norm_strongaug,17,1.0532625625530878,0.7413194477558136,2.447174185242323e-05
B2_finetune_norm_strongaug,18,1.0830942342678707,0.7569444477558136,6.15582970243117e-06
B2_finetune_norm_strongaug,19,1.000049901008606,0.7690972238779068,0.0
