exp_name,epoch,train_loss,val_safe_acc,lr
B1_finetune_norm_basicaug,0,3.2564268112182617,0.7222222238779068,0.0009938441702975688
B1_finetune_norm_basicaug,1,2.732051420211792,0.5017361119389534,0.0009755282581475768
B1_finetune_norm_basicaug,2,2.513070567448934,0.6440972238779068,0.0009455032620941839
B1_finetune_norm_basicaug,3,2.384210415681203,0.5642361119389534,0.0009045084971874737
B1_finetune_norm_basicaug,4,2.3093948543071745,0.6510416716337204,0.0008535533905932737
B1_finetune_norm_basicaug,5,2.1902227063973743,0.78125,0.0007938926261462366
B1_finetune_norm_basicaug,6,2.085473684469859,0.6822916716337204,0.0007269952498697733
B1_finetune_norm_basicaug,7,2.0070402304331463,0.6319444477558136,0.0006545084971874737
B1_finetune_norm_basicaug,8,1.9231445988019307,0.6944444477558136,0.0005782172325201155
B1_finetune_norm_basicaug,9,1.8266864200433095,0.6944444477558136,0.0005
B1_finetune_norm_basicaug,10,1.7431317309538523,0.6232638955116272,0.0004217827674798847
B1_finetune_norm_basicaug,11,1.6627304136753083,0.6822916716337204,0.00034549150281252633
B1_finetune_norm_basicaug,12,1.511893234650294,0.7447916716337204,0.00027300475013022663
B1_finetune_norm_basicaug,13,1.381489136815071,0.7135416716337204,0.00020610737385376348
B1_finetune_norm_basicaug,14,1.3995340456565222,0.6857638955116272,0.00014644660940672625
B1_finetune_norm_basicaug,15,1.1652681320905685,0.6545138955116272,9.549150281252631e-05
B1_finetune_norm_basicaug,16,1.0837120066086452,0.7013888955116272,5.4496737905816096e-05
B1_finetune_norm_basicaug,17,1.0308029890060424,0.7291666716337204,2.447174185242323e-05
B1_finetune_norm_basicaug,18,0.9504668921232223,0.7135416716337204,6.15582970243117e-06
B1_finetune_norm_basicaug,19,0.9594872325658799,0.7291666716337204,0.0
