exp_name,epoch,train_loss,val_safe_acc,lr
C1_finetune_nonorm_basicaug,0,3.237958868344625,0.4861111119389534,0.0009938441702975688
C1_finetune_nonorm_basicaug,1,2.666469482580821,0.4201388955116272,0.0009755282581475768
C1_finetune_nonorm_basicaug,2,2.560791039466858,0.6076388955116272,0.0009455032620941839
C1_finetune_nonorm_basicaug,3,2.393028938770294,0.5329861119389534,0.0009045084971874737
C1_finetune_nonorm_basicaug,4,2.2806775748729704,0.6545138955116272,0.0008535533905932737
C1_finetune_nonorm_basicaug,5,2.2117268363634746,0.6041666716337204,0.0007938926261462366
C1_finetune_nonorm_basicaug,6,2.1419907132784526,0.6510416716337204,0.0007269952498697733
C1_finetune_nonorm_basicaug,7,2.099049925804138,0.6597222238779068,0.0006545084971874737
C1_finetune_nonorm_basicaug,8,2.038952265183131,0.6909722238779068,0.0005782172325201155
C1_finetune_nonorm_basicaug,9,1.9623329122861226,0.5850694477558136,0.0005
C1_finetune_nonorm_basicaug,10,1.8387957195440927,0.7100694477558136,0.0004217827674798847
C1_finetune_nonorm_basicaug,11,1.7738452553749084,0.6284722238779068,0.00034549150281252633
C1_finetune_nonorm_basicaug,12,1.7014347434043884,0.7378472238779068,0.00027300475013022663
C1_finetune_nonorm_basicaug,13,1.5732557455698648,0.5798611119389534,0.00020610737385376348
C1_finetune_nonorm_basicaug,14,1.4530012826124827,0.7690972238779068,0.00014644660940672625
C1_finetune_nonorm_basicaug,15,1.3708770841360092,0.7413194477558136,9.549150281252631e-05
C1_finetune_nonorm_basicaug,16,1.279909967382749,0.78125,5.4496737905816096e-05
C1_finetune_nonorm_basicaug,17,1.150314947962761,0.7690972238779068,2.447174185242323e-05
C1_finetune_nonorm_basicaug,18,1.1156300296386084,0.7847222238779068,6.15582970243117e-06
C1_finetune_nonorm_basicaug,19,1.1009944925705593,0.7569444477558136,0.0
