exp_name,epoch,train_loss,val_safe_acc,lr
A2_finetune_norm_noaug,0,3.3270060618718467,0.5329861119389534,0.0009938441702975688
A2_finetune_norm_noaug,1,2.62307976881663,0.5642361119389534,0.0009755282581475768
A2_finetune_norm_noaug,2,2.4407837450504304,0.5451388955116272,0.0009455032620941839
A2_finetune_norm_noaug,3,2.2412998696168263,0.5642361119389534,0.0009045084971874737
A2_finetune_norm_noaug,4,2.110061448812485,0.6545138955116272,0.0008535533905932737
A2_finetune_norm_noaug,5,1.9576905429363252,0.5763888955116272,0.0007938926261462366
A2_finetune_norm_noaug,6,1.7524382094542186,0.6631944477558136,0.0007269952498697733
A2_finetune_norm_noaug,7,1.5913743853569031,0.6666666716337204,0.0006545084971874737
A2_finetune_norm_noaug,8,1.4181288659572602,0.6666666716337204,0.0005782172325201155
A2_finetune_norm_noaug,9,1.1938184509674707,0.6701388955116272,0.0005
A2_finetune_norm_noaug,10,1.0193753242492676,0.7256944477558136,0.0004217827674798847
A2_finetune_norm_noaug,11,0.8721064935127895,0.6857638955116272,0.00034549150281252633
A2_finetune_norm_noaug,12,0.7727353483438492,0.7256944477558136,0.00027300475013022663
A2_finetune_norm_noaug,13,0.6631449371576309,0.6788194477558136,0.00020610737385376348
A2_finetune_norm_noaug,14,0.5334142799178759,0.7725694477558136,0.00014644660940672625
A2_finetune_norm_noaug,15,0.4358296905954679,0.7760416716337204,9.549150281252631e-05
A2_finetune_norm_noaug,16,0.3670346694688002,0.7135416716337204,5.4496737905816096e-05
A2_finetune_norm_noaug,17,0.33308755507071813,0.7569444477558136,2.447174185242323e-05
A2_finetune_norm_noaug,18,0.30460082565744717,0.7256944477558136,6.15582970243117e-06
A2_finetune_norm_noaug,19,0.3012312377492587,0.7569444477558136,0.0
